verse	verse_part	token	pos	lemma	lemma_filtered	voc	domain	subdomain
Ps_2_1	1	['῞Ινα', 'τί', 'ἐϕρύαξαν', 'ἔθνη', 'καὶ', 'λαοὶ', 'ἐμελέτησαν', 'κενά']	['ADV', 'PRON', 'NOUN', 'NOUN', 'CON', 'NOUN', 'VERB', 'ADJ']	['ινα', 'τις', 'φρυασσω', 'εθνος', 'και', 'λαος', 'μελεταω', 'κενος']	['ινα', 'φρυασσω', 'εθνος', 'λαος', 'μελεταω', 'κενος']	['εθνος', 'ινα', 'κενος', 'λαος', 'μελεταω', 'φρυασσω']	['Aspect', 'Moral and Ethical Qualities and Related Behavior', 'Case', 'True,False', 'Status', 'Understand', 'Possess,Transfer,Exchange', 'Think', 'Discourse Markers', 'Relations', 'Groups and Classes of Persons and Members of Such Groups and Classes']	['General', 'Continue', 'Content', 'True,False', 'Result', 'Low Status or Rank including persons of low status', 'Lack of Capacity for Understanding', 'Purpose', 'Markers of Identificational and Explanatory Clauses Epexegetical', 'Need,Lack', 'To Think,Thought', 'To Intend,To Purpose,To Plan', 'Socio-Political', 'Anger,Be Indignant With', 'Socio-Religious']
Ps_2_2	1	['παρέστησαν', 'οἱ', 'βασιλεῖς', 'τῆς', 'γῆς', 'καὶ', 'οἱ', 'ἄρχοντες', 'συνήχθησαν']	['VERB', 'DET', 'NOUN', 'DET', 'NOUN', 'CON', 'DET', 'NOUN', 'VERB']	['παριστημι', 'ο', 'βασιλευς', 'ο', 'γη', 'και', 'ο', 'αρχων', 'συναγω']	['παριστημι', 'βασιλευς', 'γη', 'αρχων', 'συναγω']	['αρχων', 'βασιλευς', 'γη', 'παριστημι', 'συναγω']	['Help,Care For', 'True,False', 'People', 'Be,Become,Exist,Happen', 'Stances and Events Related to Stances', 'Courts and Legal Procedures', 'Supernatural Beings and Powers', 'Time', 'Possess,Transfer,Exchange', 'Control,Rule', 'Natural Substances', 'Linear Movement', 'Existence in Space', 'Geographical Objects and Features']	['Human Beings', 'The Earths Surface', 'True,False', 'State', 'Judge,Condemn,Acquit', 'Hand Over,Betray', 'Supernatural Powers', 'Universe,Creation', 'Exchange', 'Sociopolitical Areas', 'Earth,Mud,Sand,Rock', 'Help', 'Exist', 'Rule,Govern', 'Put,Place', 'Land in Contrast With the Sea', 'Be in a Place', 'Stand', 'A Point of Time with Reference to Other Points of Time: Before,Long Ago,Now,At the Same Time,When,About,After', 'Give', 'Gather,Cause To Come Together', 'Come,Come To,Arrive']
Ps_2_2	2	['ἐπὶ', 'τὸ', 'αὐτὸ', 'κατὰ', 'τοῦ', 'κυρίου', 'καὶ', 'κατὰ', 'τοῦ', 'χριστοῦ', 'αὐτοῦ']	['PREP', 'DET', 'PRON', 'PREP', 'DET', 'NOUN', 'CON', 'PREP', 'DET', 'PROPN', 'PRON']	['επι', 'ο', 'αυτος', 'κατα', 'ο', 'κυριος', 'και', 'κατα', 'ο', 'χριστος', 'αυτος']	['κυριος', 'χριστος']	['κυριος', 'χριστος']	['Religious Activities', 'Status', 'Supernatural Beings and Powers', 'Possess,Transfer,Exchange', 'Names of Persons and Places', 'Control,Rule']	['Supernatural Beings', 'High Status or Rank including persons of high status', 'Have,Possess,Property,Owner', 'Roles and Functions', 'Rule,Govern', 'Persons']
Ps_2_2	3	['διάψαλμα']	['NOUN']	['διαψαλμα']	['διαψαλμα']	['διαψαλμα']	['Behavior and Related States']	['Prostrate as an Act of Reverence or Supplication', 'Worship,Reverence']
Ps_2_3	1	['Διαρρήξωμεν', 'τοὺς', 'δεσμοὺς', 'αὐτῶν', 'καὶ', 'ἀπορρίψωμεν', 'ἀϕ', 'ἡμῶν', 'τὸν', 'ζυγὸν', 'αὐτῶν']	['VERB', 'DET', 'NOUN', 'PRON', 'CON', 'VERB', 'CON', 'PRON', 'DET', 'NOUN', 'PRON']	['διαρρηγνυμι', 'ο', 'δεσμος', 'αυτος', 'και', 'απορριπτω', 'απο', 'ημων', 'ο', 'ζυγος', 'αυτος']	['διαρρηγνυμι', 'δεσμος', 'απορριπτω', 'ζυγος']	['απορριπτω', 'δεσμος', 'διαρρηγνυμι', 'ζυγος']	['Control,Rule', 'Physiological Processes and States', 'Physical Events and States', 'Physical Impact', 'Artifacts']	['Instruments Used in Agriculture and Husbandry', 'Split,Tear', 'Imprison', 'Sickness,Disease,Weakness', 'Instruments for Measuring', 'Instruments Used in Binding and Fastening', 'Desert,Forsake']
Ps_2_4	1	['ὁ', 'κατοικῶν', 'ἐν', 'οὐρανοῖς', 'ἐκγελάσεται', 'αὐτούς', 'καὶ', 'ὁ', 'κύριος', 'ἐκμυκτηριεῖ', 'αὐτούς']	['DET', 'VERB', 'PREP', 'NOUN', 'VERB', 'PRON', 'CON', 'DET', 'NOUN', 'VERB', 'PRON']	['ο', 'κατοικεω', 'εν', 'ουρανος', 'εκγελαω', 'αυτος', 'και', 'ο', 'κυριος', 'εκμυκτηριζω', 'αυτος']	['κατοικεω', 'ουρανος', 'εκγελαω', 'κυριος', 'εκμυκτηριζω']	['εκγελαω', 'εκμυκτηριζω', 'κατοικεω', 'κυριος', 'ουρανος']	['Animals', 'Status', 'Communication', 'Attitudes and Emotions', 'Supernatural Beings and Powers', 'Possess,Transfer,Exchange', 'Control,Rule', 'Existence in Space', 'Geographical Objects and Features']	['Supernatural Beings', 'High Status or Rank including persons of high status', 'Universe,Creation', 'Have,Possess,Property,Owner', 'The Earths Surface', 'Birds', 'Laugh,Cry,Groan', 'Dwell,Reside', 'Mock,Ridicule', 'Supernatural Powers', 'Rule,Govern', 'Regions Above the Earth']
Ps_2_5	1	['τότε', 'λαλήσει', 'πρὸς', 'αὐτοὺς', 'ἐν', 'ὀργῇ', 'αὐτοῦ', 'καὶ', 'ἐν', 'τῷ', 'θυμῷ', 'αὐτοῦ', 'ταράξει', 'αὐτούς']	['ADV', 'VERB', 'PREP', 'PRON', 'PREP', 'NOUN', 'PRON', 'CON', 'PREP', 'DET', 'NOUN', 'PRON', 'VERB', 'PRON']	['τοτε', 'λαλεω', 'προς', 'αυτος', 'εν', 'οργη', 'αυτος', 'και', 'εν', 'ο', 'θυμος', 'αυτος', 'ταρασσω', 'αυτος']	['τοτε', 'λαλεω', 'οργη', 'θυμος', 'ταρασσω']	['θυμος', 'λαλεω', 'οργη', 'ταρασσω', 'τοτε']	['Punish,Reward', 'Moral and Ethical Qualities and Related Behavior', 'Hostility,Strife', 'Communication', 'Non-Linear Movement', 'Attitudes and Emotions', 'Time']	['Riot', 'Worry,Anxiety,Distress,Peace', 'Desire Strongly', 'Punish', 'A Point of Time with Reference to Other Points of Time: Before,Long Ago,Now,At the Same Time,When,About,After', 'Speak,Talk', 'Anger,Be Indignant With']
Ps_2_6	1	['Εγὼ', 'δὲ', 'κατεστάθην', 'βασιλεὺς', 'ὑπ', 'αὐτοῦ', 'ἐπὶ', 'Σιων', 'ὄρος', 'τὸ', 'ἅγιον', 'αὐτοῦ']	['PRON', 'ADV', 'VERB', 'NOUN', 'PREP', 'PRON', 'PREP', 'PROPN', 'NOUN', 'DET', 'ADJ', 'PRON']	['εγω', 'δε', 'καθιστημι', 'βασιλευς', 'υπο', 'αυτος', 'επι', 'Σιων', 'ορος', 'ο', 'αγιος', 'αυτος']	['καθιστημι', 'βασιλευς', 'Σιων', 'ορος', 'αγιος']	['Σιων', 'αγιος', 'βασιλευς', 'καθιστημι', 'ορος']	['Moral and Ethical Qualities and Related Behavior', 'Religious Activities', 'Be,Become,Exist,Happen', 'Control,Rule', 'Constructions', 'Linear Movement', 'Groups and Classes of Persons and Members of Such Groups and Classes', 'Geographical Objects and Features']	['Parts and Areas of Buildings', 'Dedicate,Consecrate', 'Lead,Bring,Take', 'Buildings', 'State', 'Assign to a Role or Function', 'Holy,Pure', 'Elevated Land Formations', 'Rule,Govern', 'Socio-Religious']
Ps_2_7	1	['διαγγέλλων', 'τὸ', 'πρόσταγμα', 'κυρίου', 'Κύριος', 'εἶπεν', 'πρός', 'με']	['VERB', 'DET', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PREP', 'PRON']	['διαγγελλω', 'ο', 'προσταγμα', 'κυριος', 'κυριος', 'επω', 'προς', 'με']	['διαγγελλω', 'προσταγμα', 'κυριος', 'κυριος', 'επω']	['διαγγελλω', 'επω', 'κυριος', 'προσταγμα']	['Status', 'Communication', 'Supernatural Beings and Powers', 'Possess,Transfer,Exchange', 'Control,Rule']	['Supernatural Beings', 'High Status or Rank including persons of high status', 'Have,Possess,Property,Owner', 'Command,Order', 'Speak,Talk', 'Rule,Govern', 'Inform,Announce']
Ps_2_7	2	['Υἱός', 'μου', 'εἶ', 'σύ', 'ἐγὼ', 'σήμερον', 'γεγέννηκά', 'σε']	['NOUN', 'PRON', 'CON', 'PRON', 'PRON', 'ADV', 'VERB', 'PRON']	['υιος', 'μου', 'ειμι', 'συ', 'εγω', 'σημερον', 'γενναω', 'σε']	['υιος', 'σημερον', 'γενναω']	['γενναω', 'σημερον', 'υιος']	['Animals', 'Nature,Class,Example', 'People', 'Be,Become,Exist,Happen', 'Guide,Discipline,Follow', 'Supernatural Beings and Powers', 'Time', 'Physiological Processes and States', 'Kinship Terms', 'Groups and Classes of Persons and Members of Such Groups and Classes', 'Behavior and Related States']	['Units of Time with Reference to Other Units or Points of Time: Yesterday,Today,Next Day', 'General', 'Human Beings', 'Animals', 'Supernatural Beings', 'Follow,Be a Disciple', 'Kinship Relations Involving Successive Generations', 'Birth,Procreation', 'Class,Kind', 'Change of State', 'Socio-Political', 'Persons For Whom There Is Affectionate Concern', 'Change Behavior', 'Happen', 'Socio-Religious']
Ps_2_8	1	['αἴτησαι', 'παρ', 'ἐμοῦ', 'καὶ', 'δώσω', 'σοι', 'ἔθνη', 'τὴν', 'κληρονομίαν', 'σου', 'καὶ', 'τὴν', 'κατάσχεσίν', 'σου', 'τὰ', 'πέρατα', 'τῆς', 'γῆς']	['VERB', 'PREP', 'PRON', 'CON', 'VERB', 'PRON', 'NOUN', 'DET', 'NOUN', 'PRON', 'CON', 'DET', 'NOUN', 'PRON', 'DET', 'NOUN', 'DET', 'NOUN']	['αιτεω', 'παρα', 'εμου', 'και', 'διδωμι', 'σοι', 'εθνος', 'ο', 'κληρονομια', 'σου', 'και', 'ο', 'κατασχεσις', 'σου', 'ο', 'περας', 'ο', 'γη']	['αιτεω', 'διδωμι', 'εθνος', 'κληρονομια', 'κατασχεσις', 'περας', 'γη']	['αιτεω', 'γη', 'διδωμι', 'εθνος', 'κατασχεσις', 'κληρονομια', 'περας']	['Aspect', 'Religious Activities', 'Case', 'Association', 'Space', 'Communication', 'People', 'Be,Become,Exist,Happen', 'Sequence', 'Possess,Transfer,Exchange', 'Control,Rule', 'Physiological Processes and States', 'Natural Substances', 'Groups and Classes of Persons and Members of Such Groups and Classes', 'Existence in Space', 'Geographical Objects and Features']	['Human Beings', 'Try,Attempt', 'Ripen,Produce Fruit,Bear Seed', 'Have,Possess,Property,Owner', 'The Earths Surface', 'Lend,Loan,Interest,Borrow,Bank', 'Limits,Boundaries of Space', 'Agent in a Causative Role Marked by Verbs', 'Universe,Creation', 'Establish or Confirm a Relation', 'Dedicate,Consecrate', 'Sociopolitical Areas', 'Take,Obtain,Gain,Lose', 'Earth,Mud,Sand,Rock', 'Pay,Price,Cost', 'Swear,Put Under Oath,Vow', 'Happen', 'Put,Place', 'Land in Contrast With the Sea', 'To Cause To Experience', 'Receive', 'Ask For,Request', 'Assign to a Role or Function', 'Speak,Talk', 'Give', 'Live,Die', 'Socio-Political', 'Socio-Religious']
Ps_2_9	1	['ποιμανεῖς', 'αὐτοὺς', 'ἐν', 'ῥάβδῳ', 'σιδηρᾷ', 'ὡς', 'σκεῦος', 'κεραμέως', 'συντρίψεις', 'αὐτούς']	['VERB', 'PRON', 'PREP', 'NOUN', 'ADJ', 'ADV', 'NOUN', 'NOUN', 'VERB', 'PRON']	['ποιμαινω', 'αυτος', 'εν', 'ραβδος', 'σιδηρεος', 'ως', 'σκευος', 'κεραμευς', 'συντριβω', 'αυτος']	['ποιμαινω', 'ραβδος', 'σιδηρεος', 'σκευος', 'κεραμευς', 'συντριβω']	['κεραμευς', 'ποιμαινω', 'ραβδος', 'σιδηρεος', 'σκευος', 'συντριβω']	['Animal Husbandry,Fishing', 'Hostility,Strife', 'People', 'Body,Body Parts,and Body Products', 'Guide,Discipline,Follow', 'Possess,Transfer,Exchange', 'Control,Rule', 'Physiological Processes and States', 'Natural Substances', 'Kinship Terms', 'Physical Impact', 'Artifacts']	['Human Beings', 'Body', 'Containers', 'Sexual Relations', 'Have,Possess,Property,Owner', 'Break,Break Through', 'Kinship Relations Based upon Marriage', 'Press', 'Guide,Lead', 'Conquer', 'Artifacts General Meaning', 'Miscellaneous', 'Metals', 'Rule,Govern']
