Ps	Verse	Part	Text	Trad
4	2	b	οἰκτίρησόν με καὶ εἰσάκουσον τῆς προσευχῆς μου.	Aie pitié de moi, et exauce ma prière !
4	3	a	υἱοὶ ἀνθρώπων, ἕως πότε βαρυκάρδιοι; ἵνα τί ἀγαπᾶτε ματαιότητα καὶ ζητεῖτε ψεῦδος; 	Fils des hommes, jusques à quand aurez-vous le cœur appesanti ? D'où vient que tous aimez la vanité, et cherchez le mensonge ? Interlude.
4	3	b	διάψαλμα.	Fils des hommes, jusques à quand aurez-vous le cœur appesanti ? D'où vient que tous aimez la vanité, et cherchez le mensonge ? Interlude.
4	4	a	καὶ γνῶτε ὅτι ἐθαυμάστωσεν κύριος τὸν ὅσιον αὐτοῦ· 	Sachez donc que le Seigneur a rendu son Saint admirable ; le Seigneur m'exaucera, lorsque je crierai vers lui.
4	4	b	κύριος εἰσακούσεταί μου ἐν τῷ κεκραγέναι με πρὸς αὐτόν.	Sachez donc que le Seigneur a rendu son Saint admirable ; le Seigneur m'exaucera, lorsque je crierai vers lui.
4	5	a	ὀργίζεσθε καὶ μὴ ἁμαρτάνετε· λέγετε ἐν ταῖς καρδίαις ὑμῶν καὶ ἐπὶ ταῖς κοίταις ὑμῶν κατανύγητε. 	Indignez-vous, mais ne péchez pas ; soyez touchés de componction de ce que vous méditez sur votre couche au fond de vos cœurs. Interlude.
4	5	c	διάψαλμα.	
4	6		θύσατε θυσίαν δικαιοσύνης καὶ ἐλπίσατε ἐπὶ κύριον.	Offrez le sacrifice de justice, et espérez au Seigneur ;
4	7	a	πολλοὶ λέγουσιν Τίς δείξει ἡμῖν τὰ ἀγαθά;	Plusieurs disent : Qui nous fera voir les biens ?
4	7	b	ἐσημειώθη ἐϕ’ ἡμᾶς τὸ ϕῶς τοῦ προσώπου σου, κύριε.	 Seigneur, la lumière de ta face est empreinte sur nous ;
4	8	a	ἔδωκας εὐϕροσύνην εἰς τὴν καρδίαν μου·	Tu as mis la joie dans mon cœur. 
4	8	b	ἀπὸ καιροῦ σίτου καὶ οἴνου καὶ ἐλαίου αὐτῶν ἐπληθύνθησαν.	Mes ennemis se sont multipliés dans l'abondance de leur pain, de leur vin, de leur huile.
4	9	a	ἐν εἰρήνῃ ἐπὶ τὸ αὐτὸ κοιμηθήσομαι καὶ ὑπνώσω,	Pour moi, je m'endormirai et me reposerai dans la paix
4	9	b	ὅτι σύ, κύριε, κατὰ μόνας ἐπ’ ἐλπίδι κατῴκισάς με.	parce que toi, Seigneur, par une grâce singulière, tu m'as établi dans l'espérance.
5	1	b	Εἰς τὸ τέλος,  ὑπὲρ τῆς κληρονομούσης· ψαλμὸς τῷ Δαυιδ.	Jusqu'à la Fin, au sujet de l'héritière. un psaume de David, 
5	2		Τὰ ῥήματά μου ἐνώτισαι, κύριε, σύνες τῆς κραυγῆς μου·	Seigneur, recueille mes paroles en ton oreille, sois attentif à mes cris.
5	3	a	πρόσχες τῇ ϕωνῇ τῆς δεήσεώς μου, ὁ βασιλεύς μου καὶ ὁ θεός μου.	Écoute la voix de ma prière, ô mon Roi, ô mon Dieu !
5	3	c	ὅτι πρὸς σὲ προσεύξομαι, κύριε·τὸ πρωὶ εἰσακούσῃ τῆς ϕωνῆς μου,	 Car je t'invoquerai, Seigneur ; Dès l'aurore tu entendras ma voix.
5	4	b	τὸ πρωὶ παραστήσομαί σοι καὶ ἐπόψομαι.	 Dès l'aurore je me tiendrai devant toi, et je te verrai ;
5	5	a	ὅτι οὐχὶ θεὸς θέλων ἀνομίαν σὺ εἶ, οὐδὲ παροικήσει σοι πονηρευόμενος·	Car tu n'es point un Dieu qui veuille l'iniquité. Le méchant n'habitera point auprès de toi,
5	6	a	οὐ διαμενοῦσιν παράνομοι κατέναντι τῶν ὀϕθαλμῶν σου,	Les pécheurs ne resteront point sous tes yeux. 
5	6	b	ἐμίσησας πάντας τοὺς ἐργαζομένους τὴν ἀνομίαν. ἀπολεῖς πάντας τοὺς λαλοῦντας τὸ ψεῦδος· 	Seigneur, tu hais tous ceux qui font le mal, Tu perds tous ceux qui disent le mensonge. 
5	7	b	ἄνδρα αἱμάτων καὶ δόλιον βδελύσσεται κύριος.	Le Seigneur aura en abomination l'homme de sang et le trompeur.
5	8	a	ἐγὼ δὲ ἐν τῷ πλήθει τοῦ ἐλέους σου	Pour moi, dans l'abondance de ta miséricorde,
5	8	b	 εἰσελεύσομαι εἰς τὸν οἶκόν σου, προσκυνήσω πρὸς ναὸν ἅγιόν σου ἐν ϕόβῳ σου.	 j'entrerai en ta maison ; j'adorerai en ton sanctuaire, pénétré de ta crainte.
5	9	a	κύριε, ὁδήγησόν με ἐν τῇ δικαιοσύνῃ σου ἕνεκα τῶν ἐχθρῶν μου, κατεύθυνον ἐνώπιόν μου τὴν ὁδόν σου.	Seigneur, guide-moi en ta justice, à cause de mes ennemis ; rends droite ma voie en ta présence.
5	10	a	ὅτι οὐκ ἔστιν ἐν τῷ στόματι αὐτῶν ἀλήθεια, ἡ καρδία αὐτῶν ματαία· 	Car il n'est point de vérité en leur bouche ; leur cœur n'est que vanité.
5	10	b	τάϕος ἀνεῳγμένος ὁ λάρυγξ αὐτῶν, ταῖς γλώσσαις αὐτῶν ἐδολιοῦσαν.	 Leur gosier est un sépulcre ouvert, et avec leurs langues ils ont trompé.
5	11	a	κρῖνον αὐτούς, ὁ θεός· ἀποπεσάτωσαν ἀπὸ τῶν διαβουλίων αὐτῶν· 	Juge-les, ô mon Dieu !  Que leurs desseins soient renversés ; 
5	11	c	κατὰ τὸ πλῆθος τῶν ἀσεβειῶν αὐτῶν ἔξωσον αὐτούς, ὅτι παρεπίκρανάν σε, κύριε.	 Que leurs desseins soient renversés ; à cause de la multitude de leurs impiétés, repousse-les, car ils t'ont exaspéré, Seigneur.
5	12	a	καὶ εὐϕρανθήτωσαν πάντες οἱ ἐλπίζοντες ἐπὶ σέ· 	Mais ils se réjouiront en toi, tous ceux qui mettent en toi leur espérance ; ils tressailliront à jamais d'allégresse, et tu habiteras en eux. 
5	12	b	εἰς αἰῶνα ἀγαλλιάσονται, καὶ κατασκηνώσεις ἐν αὐτοῖς, 	Mais ils se réjouiront en toi, tous ceux qui mettent en toi leur espérance ; ils tressailliront à jamais d'allégresse, et tu habiteras en eux. 
5	12	c	καὶ καυχήσονται ἐν σοὶ πάντες οἱ ἀγαπῶντες τὸ ὄνομά σου.	Et tous ceux qui aiment ton nom se glorifieront en toi ;
5	13	a	ὅτι σὺ εὐλογήσεις δίκαιον· κύριε, ὡς ὅπλῳ εὐδοκίας ἐστεϕάνωσας ἡμᾶς.	Car tu béniras le juste. Seigneur, tu nous as couronnés de ta bonté comme d'un bouclier.
6	1	b	Εἰς τὸ τέλος,  ἐν ὕμνοις, ὑπὲρ τῆς ὀγδόης·  ψαλμὸς τῷ Δαυιδ.	Jusqu'à la Fin, pris des hymnes en octave. un psaume de David,
6	2		Κύριε, μὴ τῷ θυμῷ σου ἐλέγξῃς με μηδὲ τῇ ὀργῇ σου παιδεύσῃς με.	Seigneur, ne me reprends pas en ta fureur, ne me châtie pas en ta colère.
6	3		ἐλέησόν με, κύριε, ὅτι ἀσθενής εἰμι· ἴασαί με, κύριε, ὅτι ἐταράχθη τὰ ὀστᾶ μου,	Aie pitié de moi, Seigneur, car je suis infirme ; guéris-moi, Seigneur, car mes os sont bouleversés.
6	4		καὶ ἡ ψυχή μου ἐταράχθη σϕόδρα· καὶ σύ, κύριε, ἕως πότε;	Et mon âme a été grandement troublée, et toi, jusques à quand, Seigneur ?
6	5		ἐπίστρεψον, κύριε, ῥῦσαι τὴν ψυχήν μου, σῶσόν με ἕνεκεν τοῦ ἐλέους σου.	Reviens, Seigneur, délivre mon âme ; sauve-moi par ta miséricorde.
6	6		ὅτι οὐκ ἔστιν ἐν τῷ θανάτῳ ὁ μνημονεύων σου· ἐν δὲ τῷ ᾅδῃ τίς ἐξομολογήσεταί σοι;	Car il n'est personne en la mort qui se souvienne de toi ; et aux enfers, qui te rendra gloire ?
6	7	a	ἐκοπίασα ἐν τῷ στεναγμῷ μου, λούσω καθ’ ἑκάστην νύκτα τὴν κλίνην μου, 	Je me suis fatigué à gémir ; je laverai chaque nuit ma couche ; j'arroserai mon lit de mes larmes.
6	7	b	ἐν δάκρυσίν μου τὴν στρωμνήν μου βρέξω.	Je me suis fatigué à gémir ; je laverai chaque nuit ma couche ; j'arroserai mon lit de mes larmes.
6	8		ἐταράχθη ἀπὸ θυμοῦ ὁ ὀϕθαλμός μου, ἐπαλαιώθην ἐν πᾶσιν τοῖς ἐχθροῖς μου.	Mon œil a été troublé par la fureur ; je suis devenu vieux au milieu de tous mes ennemis.
6	9		ἀπόστητε ἀπ’ ἐμοῦ, πάντες οἱ ἐργαζόμενοι τὴν ἀνομίαν, 	Éloignez-vous de moi, vous tous ouvriers d'iniquité ; car le Seigneur a entendu la voix de mes larmes.
6	9		ὅτι εἰσήκουσεν κύριος τῆς ϕωνῆς τοῦ κλαυθμοῦ μου·	Éloignez-vous de moi, vous tous ouvriers d'iniquité ; car le Seigneur a entendu la voix de mes larmes.
6	10		εἰσήκουσεν κύριος τῆς δεήσεώς μου, κύριος τὴν προσευχήν μου προσεδέξατο.	Le Seigneur a écouté mon oraison ; le Seigneur a exaucé ma prière.
6	11		αἰσχυνθείησαν καὶ ταραχθείησαν σϕόδρα πάντες οἱ ἐχθροί μου, 	Que tous mes ennemis rougissent de honte et soient troublés au fond de l'âme ; qu'ils fuient soudain et soient grandement humiliés.
6	11		ἀποστραϕείησαν καὶ καταισχυνθείησαν σϕόδρα διὰ τάχους.	Que tous mes ennemis rougissent de honte et soient troublés au fond de l'âme ; qu'ils fuient soudain et soient grandement humiliés.
7	1	a	Ψαλμὸς τῷ Δαυιδ, ὃν ᾖσεν τῷ κυρίῳ ὑπὲρ τῶν λόγων Χουσι υἱοῦ Ιεμενι.	Un psaume de David, qu'il chanta au Seigneur, à cause des paroles de Chusi, le benjamite.
7	2		Κύριε ὁ θεός μου, ἐπὶ σοὶ ἤλπισα· σῶσόν με ἐκ πάντων τῶν διωκόντων με καὶ ῥῦσαί με,	Seigneur mon Dieu, j'ai espéré en toi ; sauve-moi de tous ceux qui me persécutent, et délivre-moi ;
7	3		μήποτε ἁρπάσῃ ὡς λέων τὴν ψυχήν μου μὴ ὄντος λυτρουμένου μηδὲ σῴζοντος.	De peur que, comme un lion, ils ne ravissent ma vie, s'il n'y a personne pour me sauver et me racheter.
7	4		κύριε ὁ θεός μου, εἰ ἐποίησα τοῦτο, εἰ ἔστιν ἀδικία ἐν χερσίν μου,	Seigneur mon Dieu, si j'ai fait quelque faute, s'il y a quelque iniquité en mes mains,
7	5		εἰ ἀνταπέδωκα τοῖς ἀνταποδιδοῦσίν μοι κακά, ἀποπέσοιν ἄρα ἀπὸ τῶν ἐχθρῶν μου κενός,	Si j'ai rendu le mal pour le mal, que je tombe dénué de tout, sous les coups de mes ennemis ;
7	6	a	καταδιώξαι ἄρα ὁ ἐχθρὸς τὴν ψυχήν μου  	Que l'ennemi poursuive mon âme ; qu'il la prenne, qu'à terre il foule aux pieds ma vie ; qu'il enfouisse ma gloire sous la poussière. 
7	6	b	καὶ καταλάβοι καὶ καταπατήσαι εἰς γῆν τὴν ζωήν μου καὶ τὴν δόξαν μου εἰς χοῦν κατασκηνώσαι. 	
7	6	c	διάψαλμα.	Interlude.
7	7	a	ἀνάστηθι, κύριε, ἐν ὀργῇ σου, ὑψώθητι ἐν τοῖς πέρασι τῶν ἐχθρῶν μου·	Lève-toi, Seigneur, en ta colère ; fais éclater ta grandeur jusqu'aux extrêmes frontières de mes ennemis. Réveille-toi, Seigneur mon Dieu, selon le commandement que tu as intimé.
7	7	b	ἐξεγέρθητι, κύριε ὁ θεός μου, ἐν προστάγματι, ᾧ ἐνετείλω,	Lève-toi, Seigneur, en ta colère ; fais éclater ta grandeur jusqu'aux extrêmes frontières de mes ennemis. Réveille-toi, Seigneur mon Dieu, selon le commandement que tu as intimé.
7	8		καὶ συναγωγὴ λαῶν κυκλώσει σε, καὶ ὑπὲρ ταύτης εἰς ὕψος ἐπίστρεψον.	Et la synagogue des peuples t'entourera. Et pour elle, remonte au plus haut des cieux.
7	9		κύριος κρινεῖ λαούς· κρῖνόν με, κύριε, κατὰ τὴν δικαιοσύνην μου καὶ κατὰ τὴν ἀκακίαν μου ἐπ’ ἐμοί.	Le Seigneur juge les peuples. Juge-moi, Seigneur, selon ma justice et mon innocence.
7	10		συντελεσθήτω δὴ πονηρία ἁμαρτωλῶν, καὶ κατευθυνεῖς δίκαιον· ἐτάζων καρδίας καὶ νεϕροὺς ὁ θεός.	Que la méchanceté des pécheurs ait un terme, et tu dirigeras le juste, ô Dieu, qui sonde les cœurs et les reins !
7	11		δικαία ἡ βοήθειά μου παρὰ τοῦ θεοῦ τοῦ σῴζοντος τοὺς εὐθεῖς τῇ καρδίᾳ.	Il est juste que je sois aidé du Dieu qui sauve les hommes droits en leur cœur.
7	12		ὁ θεὸς κριτὴς δίκαιος καὶ ἰσχυρὸς καὶ μακρόθυμος μὴ ὀργὴν ἐπάγων καθ’ ἑκάστην ἡμέραν.	Dieu est un juge équitable, fort et patient ; est-ce que chaque jour il déchaîne sa colère ?
7	13		ἐὰν μὴ ἐπιστραϕῆτε, τὴν ῥομϕαίαν αὐτοῦ στιλβώσει· τὸ τόξον αὐτοῦ ἐνέτεινεν καὶ ἡτοίμασεν αὐτὸ	Si vous ne vous convertissez, il brandira son glaive ; il a tendu son arc, et il le tient préparé.
7	14		καὶ ἐν αὐτῷ ἡτοίμασεν σκεύη θανάτου, τὰ βέλη αὐτοῦ τοῖς καιομένοις ἐξειργάσατο.	Il y a mis des instruments de mort ; il a préparé des flèches enflammées.
7	15		ἰδοὺ ὠδίνησεν ἀδικίαν, συνέλαβεν πόνον καὶ ἔτεκεν ἀνομίαν·	Voilà que le méchant a enfanté l'iniquité ; il a conçu la douleur, il a donné le jour au péché.
7	16		λάκκον ὤρυξεν καὶ ἀνέσκαψεν αὐτὸν καὶ ἐμπεσεῖται εἰς βόθρον, ὃν εἰργάσατο·	Il a ouvert une fosse, il l'a creusée ; et il tombera dans la fosse qu'il a faite.
7	17		ἐπιστρέψει ὁ πόνος αὐτοῦ εἰς κεϕαλὴν αὐτοῦ, καὶ ἐπὶ κορυϕὴν αὐτοῦ ἡ ἀδικία αὐτοῦ καταβήσεται.	Son œuvre retournera sur sa tête, et sur son front son iniquité descendra.
7	18		ἐξομολογήσομαι κυρίῳ κατὰ τὴν δικαιοσύνην αὐτοῦ καὶ ψαλῶ τῷ ὀνόματι κυρίου τοῦ ὑψίστου.	Je rendrai gloire au Seigneur selon sa justice ; je chanterai le nom du Seigneur Très-Haut.
8	1	b	Εἰς τὸ τέλος, ὑπὲρ τῶν ληνῶν· ψαλμὸς τῷ Δαυιδ.	Jusqu'à la Fin, au sujet des pressoirs à vin, un psaume de David.
8	2		Κύριε ὁ κύριος ἡμῶν, ὡς θαυμαστὸν τὸ ὄνομά σου ἐν πάσῃ τῇ γῇ,	Seigneur, ô notre Dieu, que ton nom est admirable sur toute la terre ! Car ta magnificence est élevée au-dessus des cieux.
8	2		 ὅτι ἐπήρθη ἡ μεγαλοπρέπειά σου ὑπεράνω τῶν οὐρανῶν.	Seigneur, ô notre Dieu, que ton nom est admirable sur toute la terre ! Car ta magnificence est élevée au-dessus des cieux.
8	3	a	ἐκ στόματος νηπίων καὶ θηλαζόντων κατηρτίσω αἶνον 	Tu as mis la parfaite louange dans la bouche des enfants à la mamelle, à cause de tes ennemis, pour confondre le haineux et le vindicatif.
8	3	b	ἕνεκα τῶν ἐχθρῶν σου τοῦ καταλῦσαι ἐχθρὸν καὶ ἐκδικητήν.	Tu as mis la parfaite louange dans la bouche des enfants à la mamelle, à cause de tes ennemis, pour confondre le haineux et le vindicatif.
8	4		ὅτι ὄψομαι τοὺς οὐρανούς, ἔργα τῶν δακτύλων σου, σελήνην καὶ ἀστέρας, ἃ σὺ ἐθεμελίωσας.	Quand je vois les cieux, œuvres de tes doigts, la lune et les étoiles que tu as créées, je dis :
8	5		τί ἐστιν ἄνθρωπος, ὅτι μιμνῄσκῃ αὐτοῦ, ἢ υἱὸς ἀνθρώπου, ὅτι ἐπισκέπτῃ αὐτόν;	Qu'est donc l'homme, pour que tu te souviennes de lui ? ou le fils de l'homme, pour que tu le visites ?
8	6		ἠλάττωσας αὐτὸν βραχύ τι παρ’ ἀγγέλους, δόξῃ καὶ τιμῇ ἐστεϕάνωσας αὐτόν·	Tu l'as fait un peu moindre que les anges ; tu l'as couronné d'honneur et de gloire,
8	7	a	καὶ κατέστησας αὐτὸν ἐπὶ τὰ ἔργα τῶν χειρῶν σου, πάντα ὑπέταξας ὑποκάτω τῶν ποδῶν αὐτοῦ,	Et tu l'as mis à la tête des œuvres de tes mains ! Tu as placé toutes choses sous ses pieds :
8	8		πρόβατα καὶ βόας πάσας, ἔτι δὲ καὶ τὰ κτήνη τοῦ πεδίου,	Les brebis et tous les bœufs, et même les bêtes des champs ;
8	9		τὰ πετεινὰ τοῦ οὐρανοῦ καὶ τοὺς ἰχθύας τῆς θαλάσσης, τὰ διαπορευόμενα τρίβους θαλασσῶν.	Les oiseaux du ciel, et les poissons de la mer et ceux qui parcourent les sentiers des mers.
8	10		κύριε ὁ κύριος ἡμῶν, ὡς θαυμαστὸν τὸ ὄνομά σου ἐν πάσῃ τῇ γῇ.	Seigneur, notre Seigneur, que ton nom est admirable sur toute la terre !
9	1	b	Εἰς τὸ τέλος, ὑπὲρ τῶν κρυϕίων τοῦ υἱοῦ· ψαλμὸς τῷ Δαυιδ.	Jusqu'à la Fin, 
9	2		’Εξομολογήσομαί σοι, κύριε, ἐν ὅλῃ καρδίᾳ μου, διηγήσομαι πάντα τὰ θαυμάσιά σου·	Je te rendrai gloire, ô mon Dieu, de tout mon cœur ; je raconterai tes merveilles.
9	3		εὐϕρανθήσομαι καὶ ἀγαλλιάσομαι ἐν σοί, ψαλῶ τῷ ὀνόματί σου, ὕψιστε.	Je me réjouirai et je tressaillirai en toi ; je chanterai ton nom, Dieu Très-Haut.
9	4		ἐν τῷ ἀποστραϕῆναι τὸν ἐχθρόν μου εἰς τὰ ὀπίσω ἀσθενήσουσιν καὶ ἀπολοῦνται ἀπὸ προσώπου σου,	Parce que tu as réduit mes ennemis à tourner le dos ; ils seront abattus et périront devant ta face.
9	5		ὅτι ἐποίησας τὴν κρίσιν μου καὶ τὴν δίκην μου, ἐκάθισας ἐπὶ θρόνου, ὁ κρίνων δικαιοσύνην.	Car tu as jugé ma cause sur ton trône, ô toi qui juges selon la justice.
9	6	a	ἐπετίμησας ἔθνεσιν, καὶ ἀπώλετο ὁ ἀσεβής, τὸ ὄνομα αὐτῶν ἐξήλειψας εἰς τὸν αἰῶνα καὶ εἰς τὸν αἰῶνα τοῦ αἰῶνος·	Tu as repris les nations, et l'impie a péri ; tu as effacé leur nom à jamais pour tous les siècles des siècles.
