lemma	domains	subdomains	definitions
αγαθωσυνη	'[''Moral and Ethical Qualities and Related Behavior'', ''Possess, Transfer, Exchange'']'	'[''Goodness'', ''Give'']'	'[''positive moral qualities of the most general nature'', ''the act of generous giving, with the implication of its relationship to goodness'']'
ἀγαλλίαμα	'[''Attitudes and Emotions'']'	'[''Happy, Glad, Joyful'']'	great joy, celebration or rejoicing
αγαλλιασις	'[''Attitudes and Emotions'']'	'[''Happy, Glad, Joyful'']'	'[''a state of intensive joy and gladness, often implying verbal expression and body movement (for example, jumping, leaping, dancing)'']'
αγαλλιαω	'[''Attitudes and Emotions'']'	'[''Happy, Glad, Joyful'']'	'[''to experience a state of great joy and gladness, often involving verbal expression and appropriate body movement'']'
αγαπαω	'[''Attitudes and Emotions'', ''Attitudes and Emotions'', ''Attitudes and Emotions'']'	'[''Love, Affection, Compassion'', ''Love, Affection, Compassion'', ''Enjoy, Take Pleasure In, Be Fond of Doing'']'	'[''to have love for someone or something, based on sincere appreciation and high regard'', ''to demonstrate or show one’s love'', ''to like or love something on the basis of a high regard for its value or importance'']'
ἀγάπησις	'[''Attitudes and Emotions'']'	'[''Love, Affection, Compassion'']'	an expression of deep personal affection
αγαπητος	'[''Attitudes and Emotions'', ''Nature, Class, Example'']'	'[''Love, Affection, Compassion'', ''Distinctive, Unique'']'	'[''(derivative of {L:ἀγαπάω<SDBG:ἀγαπάω:000000>}[a] ‘to love,’ {D:25.43}) pertaining to one who or that which is loved'', ''pertaining to one who is the only one of his or her class, but at the same time is particularly loved and cherished'']'
αγαρηνος	'[''Names of Persons and Places'']'	'[''Persons'']'	'Descendants of Hagar (Sarah''s handmaid), desert tribe enemies of Israel'
αγγαιας	'[''Names of Persons and Places'']'	'[''Persons'']'	Post-exilic Hebrew prophet who encouraged rebuilding the temple
αγγελος	'[''Communication'', ''Supernatural Beings and Powers'']'	'[''Inform, Announce'', ''Supernatural Beings'']'	'[''(derivative of {L:ἀγγέλλω<SDBG:ἀγγέλλω:000000>} ‘to tell, to inform,’ {D:33.189}) a person who makes an announcement{N:001}'', ''a supernatural being that attends upon or serves as a messenger of a superior supernatural entity'']'
αγιαζω	'[''Religious Activities'', ''Moral and Ethical Qualities and Related Behavior'', ''Moral and Ethical Qualities and Related Behavior'']'	'[''Dedicate, Consecrate'', ''Holy, Pure'', ''Holy, Pure'']'	'[''to dedicate to the service of and to loyalty to deity'', ''to cause someone to have the quality of holiness{N:001}'', ''to feel reverence for or to honor as holy'']'
ἁγίασμα	'[''Religious Activities'']'	'[''Holy, Pure'', ''Dedicate, Consecrate'']'	something consecrated or made holy
ἁγιαστήριον	'[''Religious Activities'']'	'[''Holy, Pure'', ''Buildings'']'	a sacred place set apart for worship
αγιος	'[''Moral and Ethical Qualities and Related Behavior'', ''Religious Activities'', ''Groups and Classes of Persons and Members of Such Groups and Classes'', ''Constructions'', ''Constructions'', ''Constructions'']'	'[''Holy, Pure'', ''Dedicate, Consecrate'', ''Socio-Religious'', ''Buildings'', ''Buildings'', ''Parts and Areas of Buildings'']'	'[''pertaining to being holy in the sense of superior moral qualities and possessing certain essentially divine qualities in contrast with what is human{N:001}'', ''pertaining to being dedicated or consecrated to the service of God'', ''persons who belong to God, and as such constitute a religious entity'', "(derivative of {L:ἅγιος<SDBG:ἅγιος:000000>}[a], ''holy'', {D:88.24}) the movable tabernacle or the temple in Jerusalem as a consecrated place", "(derivative of {L:ἅγιος<SDBG:ἅγιος:000000>}[a], ''holy'', {D:88.24}) the movable tabernacle or the temple in Jerusalem as a consecrated place", ''the interior (either the outer or the inner of the two rooms) of the sanctuary of the Jerusalem Temple or of the earlier tabernacle or of a corresponding ‘spiritual holy place,’ perhaps regarded as being in heaven'']'
αγιωσυνη	'[''Moral and Ethical Qualities and Related Behavior'', ''Religious Activities'']'	'[''Holy, Pure'', ''Dedicate, Consecrate'']'	'[''the quality of holiness as an expression of the divine in contrast with the human'', ''the state resulting from being dedicated to the service of God'']'
αγνοια	'[''Know'']'	'[''Know'']'	'[''to not have information about'']'
αγνος	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Holy, Pure'']'	'[''pertaining to being without moral defect or blemish and hence pure'']'
αγριος	'[''Violence, Harm, Destroy, Kill'']'	'[''Violence'']'	'[''(a figurative extension of meaning of ἄγριος ‘wild, savage’) pertaining to what is violent and uncontrolled'', ''pertaining to what is undomesticated and uncultivated in nature'']'
αγρος	'[''Geographical Objects and Features'', ''Geographical Objects and Features'', ''Geographical Objects and Features'']'	'[''Pastures and Cultivated Lands'', ''Areas Which Are Uninhabited or Only Sparsely Populated'', ''Population Centers'']'	'[''land under cultivation or used for pasture'', ''a rural area in contrast with a population center'', ''a relatively small village, possibly merely a cluster of farms'']'
αγρυπνεω	'[''Learn'', ''Help, Care For'']'	'[''Be Ready To Learn, Pay Attention'', ''Care For, Take Care Of'']'	'[''(a figurative extension of meaning of ἀγρυπνέω ‘to keep oneself awake,’ not occurring in the NT) to make an effort to learn of what might be a potential future threat'', ''to take care of or to look after, with the implication of continuous and wakeful concern for'']'
ἄγχω	'[''Physical Events and States'']'	'[''Parts of the Body'', ''Breathe, Breath'']'	to compress the throat, cause suffocation
αγω	'[''Linear Movement'', ''Linear Movement'', ''Linear Movement'', ''Guide, Discipline, Follow'', ''Perform, Do'', ''Time'', ''Time'', ''Discourse Markers'']'	'[''Lead, Bring, Take'', ''Carry, Bear'', ''Leave, Depart, Flee, Escape, Send'', ''Guide, Lead'', ''Function'', ''A Point of Time with Reference to Other Points of Time: Before, Long Ago, Now, At the Same Time, When, About, After'', ''Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young'', ''Prompters of Attention'']'	'[''to direct or guide the movement of an object, without special regard to point of departure or goal'', ''to carry or bring, especially animate beings{N:001}'', ''to move away from a reference point'', ''to so influence others as to cause them to follow a recommended course of action'', ''to be actively performing some function'', ''to occur at a particular or expected time'', ''to experience a duration of time'', ''prompter of attention, which serves also to emphasize the following statement'']'
αδελφος	'[''Kinship Terms'', ''Groups and Classes of Persons and Members of Such Groups and Classes'', ''Groups and Classes of Persons and Members of Such Groups and Classes'', ''Groups and Classes of Persons and Members of Such Groups and Classes'', ''Groups and Classes of Persons and Members of Such Groups and Classes'']'	'[''Kinship Relations of the Same Generation'', ''Socio-Religious'', ''Socio-Religious'', ''Socio-Political'', ''Socio-Political'']'	'[''a male having the same father (and, usually, mother) as the reference person'', ''a close associate of a group of persons having a well-defined membership (in the NT ἀδελφός[b] refers specifically to fellow believers in Christ)'', ''a person belonging to the same socio-religious entity and being of the same age group as the so-called reference person'', ''a person who is a member of the same {L:πατριά<SDBG:πατριά:000001>}[b] or {L:φυλή<SDBG:φυλή:000001>}[b] ‘nation’ ({D:11.56})'', ''a person who lives close beside others and who thus by implication is a part of a so-called in-group, that is, the group with which an individual identifies both ethnically and culturally'']'
αδηλος	'[''Sensory Events and States'']'	'[''General Sensory Perception'']'	'[''pertaining to not being perceived'']'
αδης	'[''Geographical Objects and Features'', ''Physiological Processes and States'', ''Supernatural Beings and Powers'']'	'[''Regions Below the Surface of the Earth'', ''Live, Die'', ''Supernatural Powers'']'	'[''a place or abode of the dead, including both the righteous and the unrighteous (in most contexts ᾅδης[a] is equivalent to the Hebrew term Sheol)'', ''(a figurative extension of meaning of {L:ᾅδης<SDBG:ᾅδης:000000>}[a] Hades, {D:1.19}, as a personification of the power of Hades as the place of the dead)'', ''(an idiom, literally: gates of Hades) death as an impersonal supernatural power'']'
αδικεω	'[''Violence, Harm, Destroy, Kill'', ''Moral and Ethical Qualities and Related Behavior'', ''Moral and Ethical Qualities and Related Behavior'']'	'[''Harm, Wound'', ''Just, Righteous'', ''Treat Badly'']'	'[''to hurt or to harm, with the implication of doing something which is wrong and undeserved'', ''to do that which is unjust or unrighteous'', ''to mistreat by acting unjustly toward someone'']'
αδικια	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Just, Righteous'']'	'[''an activity which is unjust'']'
αδικος	'[''Moral and Ethical Qualities and Related Behavior'', ''Groups and Classes of Persons and Members of Such Groups and Classes'']'	'[''Just, Righteous'', ''Socio-Religious'']'	'[''pertaining to not being right or just'', ''a person who is not a member of the Christian community and by implication possibly unjust or not in a right relation with God'']'
αδικως	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Just, Righteous'']'	'[''pertaining to not being right or just'']'
ἀδολεσχέω	'[''Communication'']'	'[''To Think About, with the Implied Purpose of Responding Appropriately'']'	to meditate or speak thoughtfully, especially at length
ἀδολεσχία	'[''Attitudes and Emotions'', ''Think'']'	'[''To Think About, with the Implied Purpose of Responding Appropriately'']'	deep or sustained reflection
ἀδρύνω	'[''Physical Events and States'']'	'[''Grow, Growth'']'	to reach full growth or development
αδυνατεω	'[''Mode'']'	'[''Possible, Impossible'']'	'[''pertaining to being impossible, presumably because of a lack of power to alter or control circumstances'']'
αδω	'[''Communication'']'	'[''Sing, Lament'']'	'[''to utter words in a melodic pattern'']'
αει	'[''Time'']'	'[''Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young'']'	'[''duration of time, either continuous or episodic, but without limits'']'
αενδωρ	'[''Names of Persons and Places'']'	'[''Places'']'	Place where Saul consulted a medium before his final battle
αερμων	'[''Names of Persons and Places'']'	'[''Places'']'	Tall mountain on the northern boundary of Israel
αετος	'[''Animals'']'	'[''Birds'']'	'[''generic word for a large bird of prey; genus Aquila, but may include others, esp. vulture'']'
αηρ	'[''Geographical Objects and Features'', ''Natural Substances'', ''Geographical Objects and Features'', ''Supernatural Beings and Powers'']'	'[''Regions Above the Earth'', ''Air'', ''Regions Above the Earth'', ''Supernatural Powers'']'	'[''the space immediately above the earths surface, and not including the dome arching over the earth'', ''air as an elemental substance'', ''the space above the earth inhabited by and under the control of certain supernatural powers{N:001}'', ''(title for supernatural forces and powers) a supernatural power having some particular role in controlling the destiny and activities of human beings'']'
αθετεω	'[''Hold a View, Believe, Trust'', ''Power, Force'']'	'[''Trust, Rely'']'	'[''(a figurative extension of meaning of ἀθετέω ‘to set aside,’ not occurring in the NT) to believe that something or someone cannot be trusted or relied on and hence to reject'', ''to refuse to recognize the validity of something'']'
ἀθυμία	'[''Attitudes and Emotions'']'	'[''Sorrow, Regret'']'	a state of low spirit or depression
αθωος	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Sin, Wrongdoing, Guilt'']'	'[''pertaining to not being guilty of wrongdoing'']'
αιγυπτος	'[''Names of Persons and Places'']'	'[''Places'']'	'[''Egypt'']'
αιθαν	'[''Names of Persons and Places'']'	'[''Persons'']'	'Wise man during Solomon''s time, credited as author of Psalm 89'
αιθιοπια	'[''Names of Persons and Places'']'	'[''Places'']'	Ancient kingdom south of Egypt (Cush)
αιθιοψ	'[''Names of Persons and Places'']'	'[''Places'']'	'[''(derivative of Αἰθιωπία ‘Ethiopia,’ not occurring in the NT) a person who is a native of Ethiopia'']'
αιμα	'[''Body, Body Parts, and Body Products'', ''Physiological Processes and States'', ''Violence, Harm, Destroy, Kill'', ''Violence, Harm, Destroy, Kill'', ''Physiological Processes and States'', ''Physiological Processes and States'', ''People'', ''People'']'	'[''Parts of the Body'', ''Live, Die'', ''Kill'', ''Kill'', ''Live, Die'', ''Sickness, Disease, Weakness'', ''Human Beings'', ''Human Beings'']'	'[''red liquid that circulates in the arteries and veins of humans and animals'', ''(a figurative extension of meaning of {L:αἷμα<SDBG:αἷμα:000000>}[a] ‘blood,’ {D:8.64}) the death of a person, generally as the result of violence or execution'', ''(a figurative extension of meaning of {L:αἷμα<SDBG:αἷμα:000000>}[a] ‘blood,’ {D:8.64}) to deprive a person of life by violent means'', ''(an idiom, literally: to pour out blood) to cause the death of someone by violent means'', ''(an idiom, literally: the blood pours out) to die, with the implication of a sacrificial purpose'', ''(set phrases, literally: fountain of blood, and: flow of blood, respectively) the loss of blood through menstrual bleeding{N:001}'', ''(an idiom, literally: flesh and blood) a human being in contrast with a divine being'', ''(an idiom, literally: to share blood and flesh) to have the characteristics and nature of a human being'']'
αιμαν	'[''Names of Persons and Places'']'	'[''Persons'']'	'Temple musician and wise man during David and Solomon''s time'
αιν	'[''Communication'']'	'[''Written Language'']'	Letter name
αινεσις	'[''Communication'']'	'[''Praise'']'	'[''to speak of the excellence of a person, object, or event'']'
αινετος	'[''Attitudes and Emotions'']'	'[''Praise'']'	Praise or approval
αινεω	'[''Communication'']'	'[''Praise'']'	'[''to speak of the excellence of a person, object, or event'']'
αινος	'[''Communication'']'	'[''Praise'']'	'[''act of speaking of the excellence of a person, object, or event'']'
αιρετιζω	'[''Think'']'	'[''To Choose, To Select, To Prefer'']'	'[''to choose or select for the purpose of showing special favor to or concern for'']'
αιρω	'[''Linear Movement'', ''Violence, Harm, Destroy, Kill'', ''Violence, Harm, Destroy, Kill'', ''Possess, Transfer, Exchange'', ''Case'', ''Think'', ''Sensory Events and States'']'	'[''Carry, Bear'', ''Destroy'', ''Kill'', ''Lend, Loan, Interest, Borrow, Bank'', ''To Cause To Experience'', ''To Think, Thought'', ''Pain, Suffering'']'	'[''to lift up and carry (away)'', ''to destroy, with the implication of removal and doing away with'', ''to deprive a person of life, with the implication of this being the result of condemnation by legal or quasi-legal procedures'', ''to withdraw money from a bank'', ''(an idiom, literally: to take from) to cause someone to no longer experience something'', ''(an idiom, literally: to lift up the soul of someone) to keep someone in suspense so that one cannot come to a conclusion in one’s thinking'', ''(a productive idiomatic expression, literally: to take up one’s cross) to be prepared to endure severe suffering, even to the point of death'', ''an idiom, literally: to lift up voice'']'
αισχυνη	'[''Attitudes and Emotions'', ''Attitudes and Emotions'', ''Moral and Ethical Qualities and Related Behavior'']'	'[''Shame, Disgrace, Humiliation'', ''Shame, Disgrace, Humiliation'', ''Act Shamefully'']'	'[''a painful feeling due to the consciousness of having done or experienced something disgraceful'', ''that which is or should be the source of shame or disgrace'', ''to act in defiance of social and moral standards, with resulting disgrace, embarrassment, and shame'']'
αισχυνω	'[''Attitudes and Emotions'']'	'[''Shame, Disgrace, Humiliation'']'	'[''(derivative of {L:αἰσχύνη<SDBG:αἰσχύνη:000000>}[a] ‘shame,’ {D:25.189}) to feel shame or disgrace because of having done something wrong or something beneath one’s dignity or social status'']'
αιτεω	'[''Communication'']'	'[''Ask For, Request'']'	'[''to ask for with urgency, even to the point of demanding{N:001}'']'
αιτημα	'[''Communication'']'	'[''Ask For, Request'']'	'[''(derivative of {L:αἰτέω<SDBG:αἰτέω:000000>} ‘to ask for,’ {D:33.163}) that which is being asked for'']'
αιχμαλωσια	'[''Military Activities'']'	'[''Prisoners of War'']'	'[''the state of being taken as a prisoner of war and kept a captive'']'
αιχμαλωτευω	'[''Military Activities'']'	'[''Prisoners of War'']'	'[''to cause someone to become a prisoner of war'']'
αιχμαλωτιζω	'[''Military Activities'', ''Control, Rule'']'	'[''Prisoners of War'', ''Control, Restrain'']'	'[''to cause someone to become a prisoner of war'', ''(a figurative extension of meaning of αἰχμαλωτίζω[a] ‘to take captive in war,’ {D:55.24}) to gain complete control over, either by force or deception'']'
αιων	'[''Time'', ''Geographical Objects and Features'', ''Behavior and Related States'', ''Time'', ''Time'', ''Time'', ''Supernatural Beings and Powers'', ''Supernatural Beings and Powers'', ''Groups and Classes of Persons and Members of Such Groups and Classes'', ''Time'']'	'[''Indefinite Units of Time: Age, Lifetime, Interval, Period'', ''Universe, Creation'', ''Particular Patterns of Behavior'', ''A Point of Time with Reference to Other Points of Time: Before, Long Ago, Now, At the Same Time, When, About, After'', ''Duration of Time with Reference to Some Point of Time: Until, Delay, Still, From'', ''Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young'', ''Supernatural Powers'', ''Supernatural Beings'', ''Socio-Religious'', ''Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young'']'	'[''a unit of time as a particular stage or period of history'', ''the universe, perhaps with some associated meaning of ‘eon’ or ‘age’ in the sense of the transitory nature of the universe (but this is doubtful in the contexts of {S:05800100200038} and {S:05801100300010})'', ''the system of practices and standards associated with secular society (that is, without reference to any demands or requirements of God)'', ''(an idiom, literally: from an age) a point of time preceding another point of time, with a very long interval between (more emphatic than {L:πάλαι<SDBG:πάλαι:000000>}[a], {L:ἔκπαλαι<SDBG:ἔκπαλαι:000000>}[a], {D:67.24})'', ''an exceedingly long period of time from an assumed beginning up to the present'', ''unlimited duration of time, with particular focus upon the future'', ''title for supernatural forces and powers: a supernatural power having some particular role in controlling the destiny and activities of human beings'', ''(a title for the Devil, literally: the god of this world) one who has power or authority over this world (or this age) and is so recognized by people of the world'', ''(an idiom, literally: sons of this age) persons who hold to the value system of the world'', ''(an idiom, literally: yesterday, today, and forever) an unlimited extension of time, from the past into the future'']'
αιωνιος	'[''Time'', ''Time'']'	'[''Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young'', ''Duration of Time with Reference to Some Point of Time: Until, Delay, Still, From'']'	'[''pertaining to an unlimited duration of time{N:001}'', ''an exceedingly long period of time from an assumed beginning up to the present'', ''None'']'
ἀκακία	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Holy, Pure'']'	the quality of being pure and without deceit
ακακος	'[''Moral and Ethical Qualities and Related Behavior'', ''Hold a View, Believe, Trust'']'	'[''Goodness'', ''Suppose, Think Possible'']'	'[''pertaining to being without fault and hence guileless'', ''pertaining to being unsuspecting or naive with regard to possible deception'']'
ακανθα	'[''Plants'']'	'[''Plants That Are Not Trees'']'	'[''any kind of plant with sharp projections on its stem and/or branches; regarded as useless; symbol of hardship'']'
ἀκατέργαστος	'[''Physical Events and States'']'	'[''State'']'	in a raw, unprocessed, or incomplete state
ἀκηδία	'[''Attitudes and Emotions'']'	'[''Desert, Forsake'']'	a lack of emotional concern or motivation
ἀκηδιάζω	'[''Attitudes and Emotions'', ''Think'']'	'[''Desert, Forsake'']'	to show lack of care or interest
ἀκηδιάω	'[''Attitudes and Emotions'']'	'[''Be Ready To Learn, Pay Attention'']'	to feel unconcerned or unmoved
ακοη	'[''Sensory Events and States'', ''Sensory Events and States'', ''Sensory Events and States'', ''Communication'', ''Hold a View, Believe, Trust'', ''Sensory Events and States'', ''Attitudes and Emotions'']'	'[''Hear'', ''Hear'', ''Hear'', ''Inform, Announce'', ''Accept As True'', ''Hear'', ''Desire, Want, Wish'']'	'[''None'', ''the faculty of hearing'', ''(derivative of {L:ἀκούω<SDBG:ἀκούω:000000>}[a] ‘to hear,’ {D:24.52}) that which is heard by someone'', ''(derivative of {L:ἀκούω<SDBG:ἀκούω:000002>}[c] ‘to receive news,’ {D:33.212}) the content of the news which is heard'', ''to believe something and to respond to it on the basis of having heard'', ''(a Semitic idiom, literally: to hear with hearing) to listen intently and with presumed continuity'', ''(an idiom, literally: to itch with respect to hearing) to have one’s ears tickled by what is heard{N:002}'']'
ἀκονάω	'[''Physical Events and States'']'	'[''Sharp'']'	to make something sharp or pointed
ἀκουστός	'[''Sensory Events and States'']'	'[''Hear'']'	capable of being heard or perceived by hearing
ἀκουτίζω	'[''Communication'']'	'[''Hear'']'	to make someone hear; to cause to be informed
ακουω	'[''Sensory Events and States'', ''Sensory Events and States'', ''Communication'', ''Hold a View, Believe, Trust'', ''Guide, Discipline, Follow'', ''Understand'', ''Courts and Legal Procedures'', ''Sensory Events and States'', ''Understand'', ''Sensory Events and States'']'	'[''Hear'', ''Hear'', ''Inform, Announce'', ''Accept As True'', ''Obey, Disobey'', ''Understand'', ''Judicial Hearing, Inquiry'', ''Hear'', ''Lack of Capacity for Understanding'', ''Hear'']'	'[''None'', ''to have the faculty of hearing in contrast with being deaf{N:002}'', ''to receive information about something, normally by word of mouth'', ''to believe something and to respond to it on the basis of having heard'', ''to listen or pay attention to a person, with resulting conformity to what is advised or commanded{N:004}'', ''to hear and understand a message{N:005}'', ''to give a judicial hearing in a legal matter{N:006}'', ''(an idiom, literally: to hear into the ear) to hear something in a secret setting'', ''(an idiom, literally: to hear heavily with the ears) to be mentally slow or dull in comprehending'', ''(a Semitic idiom, literally: to hear with hearing) to listen intently and with presumed continuity'']'
ακρατος	'[''Features of Objects'']'	'[''Pure, Unadulterated, Undiluted'']'	'[''pertaining to being pure in the sense of not being diluted and hence at full strength'']'
ακρις	'[''Animals'']'	'[''Insects'']'	'[''six-legged winged insect characterized by the fact that its third pair of legs is elongated and adapted to hopping; Acrididae family; moves in swarms that migrate to new areas, which they colonize; at other times lives solitary or in small groups; eaten cooked by toasting, grilling, frying, or broiling, though in some places they are also eaten raw; because of their large numbers and swarming characteristics, locusts were a symbol of a vast attacking army against which there was no defense and also a symbol of divine punishment'']'
ακρον	'[''Space'', ''Features of Objects'']'	'[''Limits, Boundaries of Space'', ''Shapes'']'	'[''the extreme limit of a space'', ''the tip or top of a pointed object'']'
ἀκρότομος	'[''Physiological Processes and States'']'	'[''Elevated Land Formations'', ''Sharp'']'	sharply cut off; very steep
ἀλαλαγμός	'[''Communication'']'	'[''Laugh, Cry, Groan'', ''Processes Involving the Mouth, Other Than Eating and Drinking'']'	a loud or tumultuous outcry
αλαλαζω	'[''Physical Events and States'', ''Attitudes and Emotions'']'	'[''Sound'', ''Laugh, Cry, Groan'']'	'[''to make a loud, reverberating sound'', ''to cry or weep intensely and with wailing'']'
αλαλος	'[''Communication'']'	'[''Speak, Talk'']'	'[''pertaining to not being able to speak or talk'']'
ἀλγέω	'[''Physiological Processes and States'']'	'[''Pain, Suffering'', ''Experience Trouble, Hardship'']'	to experience physical or emotional suffering
ἄλγηδον	'[''Physiological Processes and States'']'	'[''Pain, Suffering'']'	physical pain or distress
ἄλγημα	'[''Physiological Processes and States'']'	'[''Pain, Suffering'']'	an instance or sensation of physical pain
ἄλγος	'[''Physiological Processes and States'']'	'[''Pain, Suffering'']'	a condition of pain, either physical or emotional
αληθεια	'[''True, False'', ''Real, Unreal'']'	'[''True, False'']'	'[''the content of that which is true and thus in accordance with what actually happened'', ''(idioms, literally: ‘in truth,’ ‘upon truth,’ and ‘according to truth’) pertaining to being a real or actual event or state{N:001}'']'
αληθινος	'[''Real, Unreal'', ''True, False'', ''Genuine, Phony'']'	'[''True, False'']'	'[''pertaining to being real and not imaginary{N:001}'', ''pertaining to being in accordance with historical fact'', ''pertaining to being what something should be'']'
αληθως	'[''Real, Unreal'']'	'[''True, False'']'	'[''pertaining to being real and not imaginary{N:001}'']'
αλλα	'[''Relations'', ''Relations'', ''Discourse Markers'', ''Discourse Markers'', ''Relations'']'	'[''Contrast'', ''Addition'', ''Markers of Transition'', ''Markers of Emphasis'', ''Contrast'']'	'[''a marker of more emphatic contrast (as compared with {L:δέ<SDBG:δέ:000002>}[c], {D:89.124})'', ''a marker of a series of coordinate relations which are contrastive with a previously identified event or state'', ''a marker of transition, with a slightly adversative implication in some contexts, often best left untranslated'', ''a marker of contrastive emphasis'', ''a marker of sets of items in contrast with one another'']'
ἄλλαγμα	'[''Possess, Transfer, Exchange'']'	'[''Exchange'']'	an object traded or given in place of another
αλλασσω	'[''Nature, Class, Example'', ''Possess, Transfer, Exchange'']'	'[''Different Kind or Class'', ''Exchange'']'	'[''to cause a difference by altering the character or nature of something'', ''to exchange one thing for another{N:001}'']'
αλληλουια	'[''Communication'']'	'[''Praise'']'	'[''(a borrowing from Hebrew, literally: praise Yahweh) an expression of praise'']'
ἀλλοιόω	'[''Physical Events and States'']'	'[''Change of State'']'	to make different; to alter
ἀλλοίωσις	'[''Physical Events and States'']'	'[''Change of State'']'	a change in form or condition
αλλοτριος	'[''Discourse Referentials'', ''Groups and Classes of Persons and Members of Such Groups and Classes'', ''Hostility, Strife'']'	'[''Whom or What Spoken or Written About'', ''Socio-Political'', ''Opposition, Hostility'']'	'[''a reference to what belongs to someone else'', ''a person from another geographical or cultural region and/or one not known to members of the socio-political group in question'', ''pertaining to being opposed as a result of one’s being essentially different'']'
αλλοφυλος	'[''Groups and Classes of Persons and Members of Such Groups and Classes'']'	'[''Socio-Religious'']'	'[''a person not belonging to the ethnic group in question (from the specifically Jewish point of view, one who is not a Jew, but a Gentile)'']'
ἅλμη	'[''Natural Substances'']'	'[''Condiments'']'	a salty liquid used for preservation
αλς	'[''Foods and Condiments'']'	'[''Condiments'']'	'[''white crystalline substance, mainly consisting of sodium chloride, used for seasoning or preserving food'']'
αλφ	'[''Communication'']'	'[''Written Language'']'	Letter name
αλωπηξ	'[''Animals'', ''Moral and Ethical Qualities and Related Behavior'']'	'[''Animals'', ''Bad, Evil, Harmful, Damaging'']'	'[''animal looking like a longhaired dog with a pointed nose and a bushy tail; either reddish with white underparts (fox) or yellowish brown with red tips to the fur on the back (jackal); scavenger; associated with destruction and devastation, and also with being insignificant but self-important; also intelligent and quick-witted, crafty'', ''(a figurative extension of meaning of {L:ἀλώπηξ<SDBG:ἀλώπηξ:000000>}[a] ‘fox,’ {D:4.10}) a wicked person, probably with the implication of being cunning and treacherous'']'
αμα	'[''Time'', ''Relations'']'	'[''A Point of Time with Reference to Other Points of Time: Before, Long Ago, Now, At the Same Time, When, About, After'', ''Association'']'	'[''a point of time which is emphatically simultaneous with another point of time'', ''a marker of association, involving additional items affected by some event'']'
αμαληκ	'[''Names of Persons and Places'']'	'[''Persons'']'	Desert tribe, enemies of Israel during the Exodus and beyond
αμαρτανω	'[''Moral and Ethical Qualities and Related Behavior'']'	'[''Sin, Wrongdoing, Guilt'']'	'[''to act contrary to the will and law of God'']'
